,id,text,label,average_subjectivity,majority_subjectivity,average_hidden_assumptions,majority_hidden_assumptions,average_bias_west,majority_bias_west,average_bias_russia,majority_bias_russia
13,0-13,Since late November 2013 pro EU Ukrainians have been protesting in the streets of the country s cities spurred by Ukrainian President Viktor Yanukovych s last minute decision not to sign the association agreement with the EU ,0,0.2,0.0,0.0,0.0,1.25,1.0,1.25,1.0
14,0-14,Some observers see pressure from Russia behind his decision and suggest that the crisis has revealed deep divisions in Ukraine between those who lean toward Moscow and those looking westward ,0,0.2,0.0,0.0,0.0,1.25,1.0,1.25,1.0
15,0-15, If one of the wealthiest men of the country Viktor Yanukovych is the president in Ukraine and he is backed by one of the most powerful people in the world Russian President Vladimir Putin then the public does not have a chance Oles Cheresko a Ukrainian living in Slovakia told the Sme daily which addressed several Ukrainians on January 23 ,0,0.2,0.0,0.0,0.0,1.25,1.0,1.25,1.0
16,0-16,Many were sceptical about the eventual success of demonstrators ,0,0.2,0.0,0.0,0.0,1.25,1.0,1.25,1.0
17,0-17,Fico was mum on the events in Ukraine until December 3 of last year when he said that the EU is so in love with itself that it is convinced there is no better alternative to it in the world SITA reported ,0,0.2,0.0,0.0,0.0,1.25,1.0,1.25,1.0
18,0-18,EU membership is not a religious rule for countries and each country can freely decide whether or not it will join Fico said adding that one must look at the offers that have been put in place such as the lowering of gas prices or projects offered to Ukraine ,0,0.2,0.0,0.0,0.0,1.25,1.0,1.25,1.0
19,0-19, Ukraine simply decided to go another way and I will not judge it now this is an internal affair for Ukraine Fico said at the time ,0,0.2,0.0,0.0,0.0,1.25,1.0,1.25,1.0
20,0-20,But as demonstrations have persisted and confrontations have increased in frequency and intensity such comments are increasingly seen as out of step with the European mainstream ,0,0.2,0.0,0.0,0.0,1.25,1.0,1.25,1.0
21,0-21,Events on the ground appear to have make things about much more than whether Ukraine wishes to enter the EU or not ,0,0.2,0.0,0.0,0.0,1.25,1.0,1.25,1.0
22,0-22, If it is proven that it was the government the police who killed demonstrators we have to call on those responsible to answer Laj k said ,0,0.2,0.0,0.0,0.0,1.25,1.0,1.25,1.0
23,0-23, If the European Union is true to its values then obviously we cannot remain silent in this gross violation of not only democratic principles but of the law ,0,0.2,0.0,0.0,0.0,1.25,1.0,1.25,1.0
24,1-0,Nuland Claims 400 500 Russian Soldiers Killed in Eastern Ukraine,0,0.6,0.0,0.2,0.0,1.0,1.0,1.0,1.0
25,1-1,US Assistant Secretary of State for European and Eurasian Affairs Victoria Nuland claimed Russian military have been killed in eastern Ukraine ,0,0.4,0.0,0.2,0.0,1.0,1.0,1.0,1.0
26,1-2,Poroshenko s Move to Prove Russian Involvement in Ukrainian Conflict Met With Memes Mockery WASHINGTON Sputnik Hundreds of Russian soldiers were killed during the crisis in eastern Ukraine US Assistant Secretary of State for European and Eurasian Affairs Victoria Nuland said during a testimony before the US Senate Foreign Relations Committee on Tuesday ,0,0.6,0.0,0.2,0.0,1.0,1.0,1.0,1.0
27,1-3,Since the start of the government forces military assault on eastern Ukraine s independence supporters in April 2014 Kiev and the West have repeatedly accused Russia of intervening in the Ukrainian crisis ,0,0.6,0.0,0.2,0.0,1.0,1.0,1.0,1.0
28,1-4,The accusations went as far as to claim that Moscow sent troops and weapons to help the independence militias ,0,0.4,0.0,0.2,0.0,1.0,1.0,1.0,1.0
29,1-5,Nevertheless the Kremlin has dismissed the claims as not corroborated by any evidence ,0,1.0,0.0,0.2,0.0,1.0,1.0,1.0,1.0
30,1-6,Moscow does not deny however that some of its nationals are fighting in Donbas as volunteers ,0,1.0,0.0,0.2,0.0,1.0,1.0,1.0,1.0
31,1-7, It is pretty difficult to have a completely accurate assessment given Russia efforts to mask its dead but we estimate it in hundreds and hundreds I cannot speak to more than 400 500 soldiers at the moment Nuland said ,1,1.6,1.5,0.2,0.0,1.0,1.0,1.0,1.0
32,1-8,Nuland also described the crisis in eastern Ukrainian as Russia s invasion of Ukraine ,0,0.4,0.0,0.2,0.0,1.0,1.0,1.0,1.0
33,1-9,Washington can confirm that Russia has moved more tanks and heavy artillery into eastern Ukraine in the last few days US Assistance Secretary of State Victoria Nuland said on Tuesday ,0,1.0,0.0,0.2,0.0,1.0,1.0,1.0,1.0
34,1-10, Just in the last few days we can confirm new transfers of Russian tanks armored vehicles heavy artillery and rocket equipment over the border to the separatists in eastern Ukraine Nuland stated during a Senate Foreign Relations Committee hearing on US policy toward Ukraine ,0,0.4,0.0,0.2,0.0,1.0,1.0,1.0,1.0
35,1-11,Late January the chief of Ukraine s General Military Staff Viktor Muzhenko acknowledged that Russian regular army units were not involved in combat action in the troubled Donetsk and Luhansk regions however adding that he had information about Russian civilian and military individuals fighting alongside independence supporters in the country s east ,0,0.4,0.0,0.4,0.0,1.0,1.0,1.0,1.0
36,2-0,Luhansk Region Closes Nine Coal Mines Over Power Outage Risk,0,0.4,0.0,0.2,0.0,0.6,1.0,0.6,1.0
37,2-1,LUHANSK July 27 RIA Novosti Nine coal mines have been temporarily closed and 3 000 miners have been evacuated in Ukraine s eastern region of Luhansk due to the threat of a power outage leaving no working mines in the region a local news portal CityNews reported on Sunday ,0,0.2,0.0,0.2,0.0,0.6,1.0,0.6,1.0
38,2-2, The mining had to be stopped and people brought to the surface because two high voltage power lines that belong to Ukrenergo have been damaged as a result of military action the report said ,0,0.2,0.0,0.8,0.0,0.6,1.0,0.6,1.0
39,2-3, A total of 3 000 people were evacuated ,0,0.8,0.0,0.2,0.0,0.6,1.0,0.6,1.0
40,2-4,Until the threat of the power being cut off is extinguished the mines will work in the life support regime ventilation and unwatering the report said ,0,0.2,0.0,0.2,0.0,0.6,1.0,0.6,1.0
41,2-5,Four other mines have already suspended work in the Luhansk Region since July 11 after the death of miners following a bus explosion and due to the ongoing military action near the enterprise ,0,0.2,0.0,0.2,0.0,0.6,1.0,0.6,1.0
42,2-6,Kiev authorities launched a special military operation in eastern Ukraine in mid April in a crackdown on the independence movement ,0,0.2,0.0,0.2,0.0,0.6,1.0,0.8,0.5
43,2-7,The fighting intensified after Donetsk and Luhansk regions proclaimed themselves independent people s republics ,0,0.8,0.0,0.2,0.0,0.6,1.0,0.6,1.0
44,2-8,Hundreds of people including civilians have died in both regions over the past months ,0,0.8,0.0,0.2,0.0,0.6,1.0,0.6,1.0
45,2-9,Moscow has described the ongoing military action as a punitive operation and has repeatedly called on Kiev to put an immediate end to the bloodshed ,0,0.2,0.0,1.4,1.0,0.6,1.0,1.2,1.0
46,2-10,Russia s Foreign Ministry has also urged the international community to intervene and investigate the crimes against humanity that occurred in Ukraine in recent months ,0,0.2,0.0,0.2,0.0,0.6,1.0,1.2,1.0
47,3-0,Self Defense Forces Blast Bridge in Horlivka Ukraine to Stop Kiev Army,0,0.0,0.0,0.6,0.0,0.8,1.0,0.8,1.0
48,3-1,HORLIVKA August 6 RIA Novosti Self defense forces in eastern Ukraine have blasted a pedestrian bridge in the city of Horlivka in Donetsk Region in an attempt to stop the offensive of the Kiev Army a RIA Novosti correspondent reported in the early hours of Wednesday ,0,0.0,0.0,0.6,0.0,0.8,1.0,0.8,1.0
49,3-2,The bridge was connecting the central part of the city with its northern areas ,0,0.0,0.0,0.6,0.0,0.8,1.0,0.8,1.0
50,3-3,A highway bridge runs parallel to the pedestrian one and will be blasted if needed ,0,0.0,0.0,1.2,0.0,0.8,1.0,0.8,1.0
51,3-4,Horlivka is a large industrial center located in about 35 kilometers 20 miles northwest of Donetsk ,0,0.0,0.0,0.6,0.0,0.8,1.0,0.8,1.0
52,3-5,The city s population is 360 000 people ,0,0.0,0.0,0.6,0.0,0.8,1.0,0.8,1.0
53,3-6,Kiev has been leading a military operation in southeastern Ukraine since mid April trying to suppress protests by independence supporters in the region who have refused to recognize the legitimacy of the new government ,0,0.0,0.0,0.6,0.0,0.8,1.0,0.8,1.0
54,3-7,The fighting intensified after Donetsk and Luhansk regions proclaimed themselves independent people s republics ,0,0.0,0.0,0.6,0.0,0.8,1.0,0.8,1.0
55,3-8,Hundreds of people including civilians have died in both regions over the past months ,0,0.0,0.0,0.6,0.0,0.8,1.0,0.8,1.0
56,3-9,Moscow has described the ongoing military action as a punitive operation and has repeatedly called on Kiev to put an immediate end to the bloodshed ,0,1.2,0.0,0.6,0.0,0.8,1.0,0.8,1.0
57,3-10,Russia s Foreign Ministry has also urged the international community to intervene and investigate the crimes against humanity that occurred in Ukraine in recent months ,0,0.0,0.0,0.6,0.0,0.8,1.0,0.8,1.0
58,4-0,Someone Sent a Mysterious Mass Text to Protesters in Kiev,0,0.8,0.0,0.0,0.0,1.0,1.0,1.0,1.0
59,4-1,The Ukraine government reportedly sent protesters in Kiev a creepy text message ,0,0.8,0.0,0.0,0.0,1.0,1.0,1.0,1.0
60,4-2,This is how they could have done it ,0,0.8,0.0,0.6,0.0,1.0,1.0,1.0,1.0
61,4-3,As mass riots continued on the streets of Kiev protesters as well as other people in the area received a mysterious text message on Monday evening ,0,0.8,0.0,0.0,0.0,1.0,1.0,1.0,1.0
62,4-4, Dear subscriber you are registered as a participant in a mass disturbance the message read as first reported by The New York Times ,0,0.8,0.0,0.6,0.0,1.0,1.0,1.0,1.0
63,4-5,The text came from a number only identified as 111 but the Times suggests Ukrainian authorities were behind it ,0,0.8,0.0,0.6,0.0,1.0,1.0,1.0,1.0
64,4-6,The country s Interior Ministry however denied sending the messages as later reported by The Guardian ,0,0.2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
65,4-7,But regardless of who was responsible for the SMS messages how did they do it ,0,0.2,0.0,0.6,0.0,1.0,1.0,1.0,1.0
66,4-8,How did they pinpoint only certain cellphones in a specific area ,0,0.2,0.0,0.6,0.0,1.0,1.0,1.0,1.0
67,4-9,It turns out something like this wouldn t be that hard to carry out ,0,0.2,0.0,0.4,0.0,1.0,1.0,1.0,1.0
68,4-10, It is very easy to send messages out to everybody who was in one particular area at one particular time said Eva Galperin an activist at the Electronic Frontier Foundation and an expert in surveillance technology ,0,0.8,0.0,0.6,0.0,1.0,1.0,1.0,1.0
69,4-11,There are a few different ways the Ukrainian government could have done it according to Ashkan Soltani an independent privacy researcher ,0,0.2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
70,4-12,The easiest would have been for the government to ask Ukrainian cellphone providers to give them a list of numbers that were connected to a certain cellphone tower or a few towers in a certain interval of time ,0,0.2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
71,4-13,This is what is commonly referred to as tower dumps ,0,0.2,0.0,0.6,0.0,1.0,1.0,1.0,1.0
72,4-14,This would imply the collaboration of the cellphone companies but all the major Ukrainian providers on Tuesday denied they had anything to do with this incident ,0,0.8,0.0,0.6,0.0,1.0,1.0,1.0,1.0
73,4-15, We declare our innocence wrote MTS on its Facebook page according to a translation of the statement ,0,0.8,0.0,0.0,0.0,1.0,1.0,1.0,1.0
74,4-16, It was carried out by using equipment that does not belong to MTS ,0,0.8,0.0,0.6,0.0,1.0,1.0,1.0,1.0
75,4-17,Another provider Kyivstar penned a similar denial ,0,0.8,0.0,0.0,0.0,1.0,1.0,1.0,1.0
76,4-18, Attackers are using illegal equipment for such mailings ,0,0.2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
77,4-19,We know of the existence of equipment the so called pirate base stations that allows you to send SMS and make calls to mobile phones subscribers to any operators that are in a certain area the company wrote on Facebook ,0,0.2,0.0,0.4,0.0,1.0,1.0,1.0,1.0
78,4-20,Here s the catch The equipment to which they refer actually exists and with it authorities wouldn t need the providers help to identify whoever was in downtown Kiev near the protests and send them the text messages ,0,0.8,0.0,0.6,0.0,1.0,1.0,1.0,1.0
79,4-21,The easiest way would be to use a so called IMSI catcher which is a portable device built to act as a cell tower and trick nearby cellphones into connecting to it Soltani explained to Mashable ,0,0.8,0.0,0.6,0.0,1.0,1.0,1.0,1.0
80,4-22, They re essentially fake base stations Soltani told Mashable ,0,0.8,0.0,0.0,0.0,1.0,1.0,1.0,1.0
81,4-23,Once a cellphone is connected to one of these International Mobile Subscriber Number IMSI catchers the device captures a deluge of information including identifying details such as the IMSI and the Electronic Serial Number ESM ,0,0.2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
82,4-24,Once the IMSI catcher is connected to a series of cellphones it can broadcast text messages like the one the protesters received ,0,0.2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
83,4-25,Devices like these are normally employed by police departments to track suspected criminals but their use has stirred controversy because they don t discriminate ,0,0.2,0.0,0.6,0.0,1.0,1.0,1.0,1.0
84,4-26,Any cellphone in their range gets caught in their surveillance net and these devices are also designed to intercept phone calls and messages ,0,0.2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
85,4-27,There are a lot of commercial IMSI catchers costing anywhere from 20 000 to around 140 000 depending on their features and range ,0,0.2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
86,4-28,They are sometimes referred to as Stingrays from the most widely known of this devices made by Harris Corporation ,0,0.2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
87,4-29,But hackers have been able to build similar machines with just 1 500 ,0,0.2,0.0,0.6,0.0,1.0,1.0,1.0,1.0
88,4-30,According to Costin Raiu a security researcher at Kaspersky Lab this is the most likely theory assuming the cellphone providers did not cooperate ,0,0.2,0.0,0.6,0.0,1.0,1.0,1.0,1.0
89,4-31,While it s still unclear who sent these messages in Kiev it s clear why they did it ,0,0.8,0.0,0.6,0.0,1.0,1.0,1.0,1.0
90,4-32, You can scare people into thinking that they have been targeted much more narrowly by writing a message that implies essentially we caught you personally rioting said Galperin ,0,0.8,0.0,0.0,0.0,1.0,1.0,1.0,1.0
91,4-33,The protesters however were not scared away as clashes continued after the message was broadcast ,0,0.8,0.0,0.6,0.0,1.0,1.0,1.0,1.0
92,5-0,Putin Classifying Troop Losses Proves They re in Ukraine Analysts,0,0.0,0.0,0.0,0.0,1.25,1.0,1.25,1.0
93,5-1,Legal amendments introduced Thursday that classify as state secrets any losses sustained during peacetime special operations are further confirmation of Russia s direct involvement in the Ukraine conflict legal and military experts told The Moscow Times ,0,0.0,0.0,0.0,0.0,1.25,1.0,1.25,1.0
94,5-2,The amendments signed by President Vladimir Putin make information disclosing the loss of personnel during special operations in peacetime a classified state secret ,0,0.0,0.0,0.0,0.0,1.25,1.0,1.25,1.0
95,5-3,Putin has repeatedly denied any involvement of Russian troops in the armed conflict in eastern Ukraine ,0,0.0,0.0,0.0,0.0,1.25,1.0,1.25,1.0
96,5-4,Asked to explain Putin s move Thursday his spokesman Dmitry Peskov had no immediate comment Reuters reported ,0,0.0,0.0,0.0,0.0,1.25,1.0,1.25,1.0
97,5-5,Military servicemen who are killed injured or go missing can be considered military losses meaning their relatives will be forced to keep information about their deaths a secret lawyers said Thursday ,0,0.0,0.0,0.2,0.0,1.25,1.0,1.25,1.0
98,5-6, Even a death notification sent to parents or other relatives of a soldier can be considered a secret under this decree Ivan Pavlov a leading lawyer in the field of government transparency who has successfully defended treason suspects told The Moscow Times ,0,0.0,0.0,0.2,0.0,1.25,1.0,1.25,1.0
99,5-7,The federal list of what constitutes a state secret can be accessed publicly but government agencies also compile their own lists that are themselves usually classified ,0,0.0,0.0,0.0,0.0,1.25,1.0,1.25,1.0
100,5-8,Moreover what the Defense Ministry classifies as a secret could be considered open information by the Interior Ministry Pavlov said ,0,0.0,0.0,0.0,0.0,1.25,1.0,1.25,1.0
101,5-9, If a citizen for instance a journalist obtains information that is considered a state secret they face prison ,0,0.0,0.0,0.0,0.0,1.25,1.0,1.25,1.0
102,5-10,The problem is that they might not even know it was a state secret said Pavlov who successfully defended Alexander Nikitin a former nuclear inspector who was accused in the 1990s of espionage for raising the alarm about the dangers posed by decaying nuclear submarines ,0,0.0,0.0,0.0,0.0,1.25,1.0,1.25,1.0
103,5-11,Truth and Consequences,0,0.0,0.0,0.0,0.0,1.25,1.0,1.25,1.0
104,5-12,Since the conflict in eastern Ukraine broke out following a popular uprising that toppled the former pro Russian president Viktor Yanukovych last year many journalists have investigated reports of Russian troops fighting and dying there ,0,0.0,0.0,0.0,0.0,1.25,1.0,1.25,1.0
105,5-13,The Kremlin denies there are Russian soldiers fighting on the side of pro Russian rebels in Ukraine ,0,0.0,0.0,0.0,0.0,1.25,1.0,1.25,1.0
106,5-14,Last August the Pskovskaya Guberniya newspaper published a series of articles alleging that secret funerals had been held for paratroopers from a local regiment believed to have been killed fighting in Ukraine ,0,0.0,0.0,0.0,0.0,1.25,1.0,1.25,1.0
107,5-15,One of the newspaper s main writers Lev Shlosberg was severely beaten by three unidentified men shortly afterwards ,0,0.0,0.0,0.0,0.0,1.25,1.0,1.25,1.0
108,5-16,Leading Russian opposition politician Boris Nemtsov was also working on a report about alleged Russian troop losses in Ukraine at the time of his murder in central Moscow in February ,0,0.0,0.0,0.0,0.0,1.25,1.0,1.25,1.0
109,5-17,Other journalists and human rights groups have attempted to find proof that the Russian army is directly involved in helping pro Russian insurgents in Ukraine ,0,0.0,0.0,0.0,0.0,1.25,1.0,1.25,1.0
110,5-18,The St Petersburg branch of the Soldiers Mothers Committee an organization that campaigns to defend the rights of soldiers and their families sent around 30 requests for information to military units that soldiers families and media reports have identified as suffering losses in 2014 ,0,0.0,0.0,0.0,0.0,1.25,1.0,1.25,1.0
111,5-19,Only one unit responded in full according to the NGO s spokesman Alexander Peredruk ,0,0.0,0.0,0.0,0.0,1.25,1.0,1.25,1.0
112,5-20, The main consequence of this law is that it will basically be impossible to obtain information Peredruk said in a phone interview with The Moscow Times ,0,0.0,0.0,0.2,0.0,1.25,1.0,1.25,1.0
113,5-21, We won t know what the statistics are but the truth is we didn t know before either he said ,0,0.0,0.0,0.2,0.0,1.25,1.0,1.25,1.0
114,5-22,After Russia s five day war with Georgia in South Ossetia which was referred to as a special operation the General Staff announced that it had lost 74 servicemen there ,0,0.0,0.0,0.0,0.0,1.25,1.0,1.25,1.0
115,5-23,According to Alexander Khramchikhin deputy director of the Institute for Political and Military Analysis think tank there is no internationally accepted norm for classifying special military operations ,0,0.0,0.0,0.0,0.0,1.25,1.0,1.25,1.0
116,5-24, Each country handles these questions its own way for many this is not an issue ,0,0.0,0.0,0.0,0.0,1.25,1.0,1.25,1.0
117,5-25,In the United States such operations are completely classified he told The Moscow Times in a phone interview ,0,0.0,0.0,0.0,0.0,1.25,1.0,1.25,1.0
118,5-26,Ordinary Victims,0,0.0,0.0,0.0,0.0,1.25,1.0,1.25,1.0
119,5-27,The key point of the legal amendments is that ordinary people will suffer as a result of them said Grigory Pasko a military journalist and director of the Moscow based Foundation for Investigative Journalism ,0,0.0,0.0,0.0,0.0,1.25,1.0,1.25,1.0
120,5-28, The main victims of this decree are parents and relatives and also soldiers themselves who have gone missing or were killed in combat he said ,0,0.0,0.0,0.0,0.0,1.25,1.0,1.25,1.0
121,5-29,A former officer of the Russian Navy Pasko served a prison term for espionage in connection with research he did for a report on environmental issues in the Sea of Japan ,0,0.0,0.0,0.0,0.0,1.25,1.0,1.25,1.0
122,5-30,Pasko said the Russian state already has all the necessary means to protect its secrets ,0,0.0,0.0,0.0,0.0,1.25,1.0,1.25,1.0
123,5-31,The high treason article of the Russian Criminal Code says that in addition to espionage and disclosure of state secrets any other assistance rendered to a foreign state a foreign organization or their representatives in hostile activities to the detriment of the external security of the Russian Federation shall be punishable by up to 20 years in prison ,0,0.0,0.0,0.0,0.0,1.25,1.0,1.25,1.0
124,5-32,Svetlana Davydova a mother of seven was detained in January on suspicion of high treason over a phone call she made to the Ukrainian Embassy in which she warned that Russian troops might have been deployed to eastern Ukraine ,0,0.0,0.0,0.0,0.0,1.25,1.0,1.25,1.0
125,5-33,She was released and the charges dropped in February ,0,0.0,0.0,0.0,0.0,1.25,1.0,1.25,1.0
126,6-0,Police track people laying flowers to Taras Shevchenko monument photo ,0,0.2,0.0,0.6,0.0,0.75,1.0,1.125,1.0
127,6-1,Police officers were seen writing down their names and passport information ,0,0.4,0.0,1.2,0.0,0.75,1.0,1.125,1.0
128,7-0,Seoul refuses to recognize Russia s Crimea annexation,0,0.2,0.0,0.6,0.0,0.9333333333333333,1.0,0.9333333333333333,1.0
129,7-1,South Korea does not recognize Russia s move to annex Crimea the Foreign Ministry said Wednesday joining some Western countries denouncement of Russian President Vladimir Putin s takeover of the previous Ukrainian territory ,0,0.8,0.0,0.6,0.0,0.9333333333333333,1.0,0.9333333333333333,1.0
130,7-2,On Tuesday Putin signed a treaty of accession with new leaders of Crimea making the southern region of Ukraine a territory of Russia ,0,0.4,0.0,0.6,0.0,0.9333333333333333,1.0,0.9333333333333333,1.0
131,7-3,The takeover took place as political instability continued in Crimea after the collapse late last month of Ukraine s previous Viktor Yanukovych government ,0,0.2,0.0,0.6,0.0,0.9333333333333333,1.0,0.9333333333333333,1.0
132,7-4,Major Western countries including the United States denounced Putin s action to be nationalistic and threatened tougher sanctions against Russia with some media reports heralding a new cold war era ,0,0.6,0.0,0.6,0.0,0.9333333333333333,1.0,0.9333333333333333,1.0
133,7-5,Joining such critical voices South Korea s Ministry of Foreign Affairs voiced concerns over Russia s takeover of Crimea ,0,0.6,0.0,0.6,0.0,0.9333333333333333,1.0,0.9333333333333333,1.0
134,7-6, The sovereignty territorial right and independence of Ukraine must necessarily be respected the ministry said in statement ,0,0.4,0.0,0.6,0.0,0.9333333333333333,1.0,0.9333333333333333,1.0
135,7-7, Our government cannot recognize the recent referendum on Crimean people and Russia s subsequent annexation of Crimea ,0,0.4,0.0,0.6,0.0,0.9333333333333333,1.0,0.9333333333333333,1.0
136,7-8,Russia announced that more than 90 percent of Crimean residents approved Russia s takeover of the region in a referendum last week but allegations of a possible fraud have been raised ,0,0.4,0.0,0.6,0.0,0.9333333333333333,1.0,0.9333333333333333,1.0
137,8-0,Russian Paratroops in Ukraine Lost in a Game of Thrones,0,0.8,0.0,0.0,0.0,0.8,1.0,0.8,1.0
138,8-1,A slew of reports about Russian paratroopers slain or captured in Ukraine have reignited fears of a Russian invasion in the war torn country but confusion reigned supreme indicating that the stories are above all part of the propaganda battle ,0,1.4,1.0,0.0,0.0,0.8,1.0,0.8,1.0
139,8-2,The reports came ahead of a long awaited meeting of the Russian and Ukrainian presidents in Minsk and both sides were ramping up psychological pressure ahead of the event as part of the media war experts said ,0,1.4,1.0,0.0,0.0,0.8,1.0,0.8,1.0
140,8-3,The reports may be based on facts but one thing was clear A military intervention was out of the question analysts on both sides told The Moscow Times on Tuesday ,0,1.4,1.0,0.0,0.0,0.8,1.0,0.8,1.0
141,8-4, The truth is extremely hard to determine but this reports of Russian soldiers captured in Ukraine is an isolated incident in any case said Mikhail Pogrebinsky of the Center of Political and Conflict Studies in Kiev ,0,1.4,1.0,0.0,0.0,0.8,1.0,0.8,1.0
142,8-5,This an edited version of one of four videos published on the official website of the Ukrainian security service on Tuesday claiming to show testimonies from Russian servicemen captured in Ukraine ,0,1.4,1.0,0.0,0.0,0.8,1.0,0.8,1.0
143,8-6,Two incidents involving Russian paratroopers have been reported One concerned a platoon of Russian paratroopers that allegedly perished last week in a clash in Ukraine s Luhansk region ,0,0.8,0.0,0.0,0.0,0.8,1.0,0.8,1.0
144,8-7,The other involved 10 alleged Russian soldiers captured in Ukraine four of them interrogated on camera ,0,1.4,1.0,0.0,0.0,0.8,1.0,0.8,1.0
145,8-8,Evidence in both cases is murky and to a large extent circumstantial ,0,1.4,1.0,0.0,0.0,0.8,1.0,0.8,1.0
146,8-9,Below The Moscow Times offers a summary of both incidents complete with sources and unanswered questions ,0,0.8,0.0,0.0,0.0,0.8,1.0,0.8,1.0
147,8-10,Story 1 Casualties,0,0.8,0.0,0.0,0.0,0.8,1.0,0.8,1.0
148,8-11,A handful of Russian paratroopers were interred in Russia recently the circumstances of death unclear ,0,1.4,1.0,0.0,0.0,0.8,1.0,0.8,1.0
149,8-12,Officials are reluctant to comment and so are relatives possibly under non disclosure agreements or threat of losing state pensions or other means of support ,0,1.4,1.0,0.0,0.0,0.8,1.0,0.8,1.0
150,8-13,Critics say the paratroopers were sent to support the pro Russian rebels in Ukraine and died fighting the Ukrainian army ,0,1.4,1.0,0.0,0.0,0.8,1.0,0.8,1.0
151,8-14,Proof and Sources ,0,0.8,0.0,0.0,0.0,0.8,1.0,0.8,1.0
152,8-15, At least two paratroopers were confirmed to have been buried Monday in Russia s Pskov region ,0,1.4,1.0,0.0,0.0,0.8,1.0,0.8,1.0
153,8-16, Ukrainian journalist Roman Bochkala last week published photos of Russian IDs and military documents allegedly found on paratroopers bodies ,0,1.4,1.0,0.0,0.0,0.8,1.0,0.8,1.0
154,8-17, Some relatives confirmed the deaths on social networks and in comments to the opposition paper Novaya Gazeta and independent news site Fontanka ru ,0,1.4,1.0,0.0,0.0,0.8,1.0,0.8,1.0
155,8-18,Questions ,0,0.8,0.0,0.0,0.0,0.8,1.0,0.8,1.0
156,8-19, Defense Ministry spokespeople denied Russia had sent or lost any troops in Ukraine said Bochkala s documents were fakes and claimed the dead paratroopers had been killed in an accident during a military exercise in the Pskov region ,0,1.4,1.0,0.0,0.0,0.8,1.0,0.8,1.0
157,8-20, Some relatives said the online statements purportedly written by them confirming the paratroopers deaths had been fabricated by hackers ,0,1.4,1.0,0.0,0.0,0.8,1.0,0.8,1.0
158,8-21, The identities of other relatives including a man cited by Novaya Gazeta and Fontanka ru could not be independently verified ,0,1.4,1.0,0.0,0.0,0.8,1.0,0.8,1.0
159,8-22,Story 2 Captives,0,0.8,0.0,0.0,0.0,0.8,1.0,0.8,1.0
160,8-23,The press service of Ukraine s counterterrorist operation as Kiev terms its campaign against the insurgents on Tuesday released videos of four men who identify themselves on camera as Russian paratroopers ,0,0.8,0.0,0.0,0.0,0.8,1.0,0.8,1.0
