,id,text,label,category
54,2-14, The Wyndham New Yorker Hotel is not a mile away as Johnson wrote ,1,0.75
55,2-15, It s about three miles north of Ground Zero in Midtown Manhattan ,1,1.5
56,2-16, Before his suicide Johnson made national news during his campaign for posting racist remarks online about former President Barack Obama and Michelle Obama ,1,2.0
57,2-17, That didn t stop him from getting elected last year in an overwhelmingly white and conservative corner of Kentucky ,1,1.5
58,2-18, Johnson claimed to have a doctorate of divinity from a Des Moines Iowa bible school ,1,1.0
59,2-19, The Kentucky Center for Investigative Reporting found no evidence to support that ,1,1.25
60,3-0, After Kentucky State Rep Dan Johnson died Wednesday in an apparent suicide amid allegations that he sexually assaulted a teenager politicians in the state called for kindness and an end to nasty vulgar comments about Johnson s death ,1,2.0
61,3-1, The allegations against Johnson surfaced in an investigation published by the Kentucky Center for Investigative Reporting ,1,1.25
62,3-2, Maranda Richmond who did not respond to TIME s request for comment on Thursday told the news organization that Johnson molested her on New Year s Eve in 2012 when he was a pastor at the Heart of Fire Church ,1,1.0
63,3-3, The Kentucky Center for Investigative Reporting said it corroborated her account with her family members Facebook messages she sent to Johnson and notes from her therapist ,1,1.5
64,3-4, Richmond said that she reported the incident to the Louisville police in 2013 ,1,1.0
65,3-5, Police investigated the matter but never pressed charges ,1,1.75
66,3-6, Louisville police did not immediately respond to TIME s request for comment ,1,1.0
67,3-7, After the allegations broke Kentucky lawmakers on both sides of the aisle called for Johnson to resign ,1,1.5
68,3-8, At a press conference on Tuesday Johnson denied the allegations and vowed to stay in the Kentucky House of Representatives ,1,1.5
69,3-9, He was found dead on Wednesday night ,1,2.0
70,3-10, Paul Ham the chairman of the Bullit County GOP criticized the Kentucky Center for Investigative Reporting in a Thursday interview with the Washington Post ,1,1.0
71,3-11, The story was based on hearsay no arrest no conviction no jail time he said ,1,1.25
72,3-12, Back when the Constitution meant something a man could stand before a jury of his peers ,1,1.25
73,3-13, But now it s just Let s just make some accusations and run with it ,1,1.5
74,3-14, We re in a very bad place ,1,1.0
75,3-15, Others like Republican Reps Wesley Morgan and Jeff Hoover seemed to echo Ham s sentiment ,1,1.5
76,3-16, Hoover resigned as the House s Speaker last month but kept his seat in the chamber following allegations of sexual harassment which he denied ,1,2.25
77,3-17, Michael Skoler the president of Louisville Public Media which owns the Kentucky Center for Investigative Reporting said that it was deeply sad over Johnson s death but noted that Johnson had declined their numerous requests to speak about Rich,1,2.25
78,3-18, Other state lawmakers called for kindness in the wake of Johnson s death ,1,2.0
79,3-19, On Thursday afternoon Johnson s widow said she wanted to take his seat in the Kentucky House ,1,0.75
80,4-0, The wife of Kentucky State Rep Dan Johnson who killed himself on Wednesday amid a bombshell report s accusations of sexual assault announced Thursday that she would pursue her husband s seat saying his fight will go on ,1,2.0
81,4-1, Dan Johnson a preacher and a Republican committed suicide Wednesday on a bridge in Mt ,1,1.75
82,4-2, Washington according to Bullitt County Sheriff Donnie Tinnell ,1,0.75
83,4-3, The coroner confirmed that Johnson died of a single gunshot wound to the head and the weapon was found near the 57 year old s body ,1,2.0
84,4-4, The statement from Johnson s widow Rebecca said she was running for the position because these high tech lynchings based on lies and half truths can t be allowed to win the day ,1,1.5
85,4-5, Dan is gone but the story of his life is far from over she said ,1,1.75
86,4-6, His death occurred just days after the Kentucky Center for Investigative Reporting published a detailed set of allegations from a woman who claimed that Johnson sexually assaulted her when she was 17 ,1,1.5
87,4-7, The lawmaker denied the accusations on Tuesday calling them totally false ,1,1.75
88,4-8, He said they were part of a nationwide strategy for defeating conservative Republicans referencing claims also made against Republican Alabama Senate candidate Roy Moore ,1,1.0
89,4-9, But the next day Johnson posted an ominous message on his Facebook page part of which prompted his family to report him missing the sheriff said Thursday ,1,1.5
90,4-10, In the post he asked for people to take care of his wife and wrote that post traumatic stress disorder is a sickness that will take my life I cannot handle it any longer ,1,1.5
91,4-11, It has won this life BUT HEAVEN IS MY HOME ,1,1.25
92,4-12, The post appears to have been removed ,1,1.75
93,4-13, The woman who made the accusations against Dan Johnson Maranda Richmond said she attended a New Year s Eve party at his house in 2012 ,1,1.75
94,4-14, She reportedly fell asleep on the couch and in the early hours of Jan 1 2013 claimed she woke up to him kneeling over her and alleged he assaulted her ,1,1.5
95,4-15, Richmond said that she reported the episode but Louisville police closed the case without charges ,1,1.75
96,4-16, The case has since been reopened ,1,1.0
97,4-17, Johnson was elected to the State Legislature in 2016 part of a wave of Republican victories that gave the GOP control of the Kentucky House of Representatives for the first time in nearly 100 years ,1,1.25
98,4-18, The pastor of Heart of Fire church in Louisville Johnson sponsored a number of bills involving religious liberty and teaching the Bible in public schools ,1,0.75
99,4-19, But he was mostly out of the spotlight until the investigative story broke ,1,0.75
100,5-0, Dan is gone says Rebecca Johnson wife of deceased Kentucky state rep Dan Johnson but the story of his life is far from over ,1,0.8
101,5-1, Rep Dan Johnson took his life on a bridge in Mt ,1,1.4
102,5-2, Washington Kentucky on Wednesday ,0,0.19999999999999996
103,5-3, Now according to WRAL his widow plans to run for the office he vacated with a handgun ,1,1.7999999999999998
104,5-4, RELATED An investigation into a state lawmaker accused of child molestation has ended with a single gunshot,1,1.6
105,5-5, Johnson stood accused of molestation of a 17 year old girl in an apartment underneath the Heart of Fire City Church s Fellowship Hall on New Year s Eve 2012 ,1,1.2000000000000002
106,5-6, An investigation by the Kentucky Center for Investigative Reporting found that a case to the allegations was closed ,1,0.8
107,5-7, Following their report and an on the record interview with alleged victim Maranda Richmond who is now 21 police reopened the case ,0,0.3999999999999999
108,5-8, No charges were filed before Johnson took his life ,1,0.8
109,5-9, These high tech lynchings based on lies and half truths can t be allowed to win the day said Rebecca Johnson who stood by her husband s side as he dismissed the molestation allegations in a press conference on Tuesday ,1,1.2000000000000002
110,5-10, That press conference saw Rep Johnson say he was mad as can be about the charges which he said were made into political stones and political rocks ,1,1.6
111,5-11, He said the allegations against him were something that s totally false ,1,1.2000000000000002
112,5-12, Rebecca Johnson says she has stood by her husband s side for 30 years and plans to continue his fight ,1,1.4
113,5-13, In expressing their condolences Louisville Public Media which oversees the Kentucky Center for Investigative Reporting says they contacted Johnson several times in the course of writing their story which called Johnson s life a long con and a ,1,1.4
114,5-14, They say they did not receive a response but added ,1,1.2000000000000002
115,5-15, All of us at Louisville Public Media are deeply sad to hear that State Representative Dan Johnson has died apparently of suicide ,1,0.8
116,5-16, We grieve for his family friends church community and constituents ,0,0.19999999999999996
117,5-17, Our Kentucky Center for Investigative Reporting released a report on Johnson this week ,0,0.3999999999999999
118,5-18, Our aim as always is to provide the public with fact based un3 reporting and hold public officials accountable for their actions ,0,0.3999999999999999
119,5-19, As part of our process we reached out to Representative Johnson numerous times over the course of a seven month investigation ,0,0.3999999999999999
120,6-0, The widow of the Kentucky lawmaker who killed himself after a sexual assault allegation surfaced this week said she will run for his seat because he was pushed to suicide by high tech lynching mobs ,1,2.2
121,6-1, In a statement on Thursday the day after Dan Johnson s suicide Rebecca Johnson said she has been fighting behind her husband for 30 years and his fight will go on ,1,1.0
122,6-2, Dan is gone but the story of his life is far from over she said ,1,0.8
123,6-3, These high tech lynchings based on lies and half truths can t be allowed to win the day ,1,1.7999999999999998
124,6-4, Johnson who is best known for a racist comment likening Barack and Michelle Obama to monkeys shot himself Wednesday night near a road in a secluded area ,1,1.0
125,6-5, Two days earlier the Kentucky Center for Investigative Reporting published a story detailing allegations that he sexually assaulted a 17 year old girl in his basement in 2013 ,1,1.2000000000000002
126,6-6, On Monday the paper published a graphic account quoting Maranda Richmond as saying that Johnson had sexually assaulted her in his basement on January 1 2013 ,1,1.0
127,6-7, According to court documents Richmond was living at Heart of Fire City Church accommodations ,1,1.2000000000000002
128,6-8, Richmond said the married lawmaker groped her and stuck his tongue in her mouth then put his hand down her pants and slipped it inside her vagina ,1,1.6
129,6-9, She said she begged him to stop but Johnson kept telling her she would like it ,1,1.4
130,6-10, Eventually he left and she slipped away early that morning before he woke up ,1,1.4
131,6-11, Richmond went to the police ,1,1.2000000000000002
132,6-12, Records show investigators with the Louisville Metro Police Department recorded a phone call between Johnson and Richmond s father Clifford in which Johnson said he couldn t imagine doing that to Maranda ,1,0.8
133,6-13, Police documents obtained by the Kentucky Center for Investigative Reporting show a detective closed the case because Richmond would not cooperate ,1,0.6000000000000001
134,6-14, Richmond denied this saying she never once wanted to stop the investigation ,1,1.2000000000000002
135,6-15, Richmond was friends with Johnson s daughter Sarah and a member of the church where he was the pastor ,1,1.0
136,6-16, The story prompted state leaders of both major political parties to call for his resignation and authorities reopened the investigation that had been closed without charges ,0,0.3999999999999999
137,6-17, The accusations came amid a sexual harassment scandal involving other Republican lawmakers at the state Capitol ,1,1.6
138,6-18, Nationwide a growing number of celebrities politicians and businessmen have been accused of sexual misconduct in recent months leading many to lose their jobs or resign ,1,0.6000000000000001
139,6-19, Johnson who pastors a church in Louisville and has at times been called the pope held a news conference from his pulpit on Tuesday defiantly denying the allegations ,1,1.6
140,7-0, Kentucky state Rep Dan Johnson who had built a reputation for himself as a gun toting motorcycle riding preacher committed suicide on Wednesday following allegations that he molested an underage girl and other crimes ,1,2.2
141,7-1, Details of Johnson s alleged misbehavior were uncovered by the Kentucky Center for Investigative Reporting a Louisville based journalism non profit in an expos called The Pope s Long Con ,1,1.2000000000000002
142,7-2, The report detailed Johnson as embroiled in a web of lies and deceit and described his role in a mysterious fire and the sexual misconduct ,1,1.6
143,7-3, According to the report Johnson allegedly molested a 17 year old girl staying at a living area of the Heart of Fire City Church where he was a pastor ,1,0.8
144,7-4, The teen told authorities that he approached her on New Year s Eve in 2012 while she slept ,1,1.2000000000000002
145,7-5, He was drunk started to kiss her and fondled her under her clothes ,1,1.7999999999999998
146,7-6, Although police did not charge him with a crime after the teen reported it in 2013 they re opened an investigation into the matter on Tuesday ,1,1.4
147,7-7, Following the news the Republican Party of Kentucky and leaders of the House Republican Caucus called for Johnson to resign ,1,0.8
148,7-8, Despite the calls Johnson held a press conference where he refused to step down and then dismissed the report as fake news in a suicide note posted to Facebook ,1,0.8
149,7-9, Deputies with the Bullitt County Sheriff s Office found Johnson s body in front of his car on the bridge where he had killed himself ,1,0.8
150,7-10, The county coroner determined Johnson died of a self inflicted gunshot wound to the head ,1,1.0
151,7-11, The news report raised doubt about Johnson s personal history such as documents claiming he performed miracles on mission trips set up safe zones during the 1992 LA riots served as chaplain in the White House under Presidents Bill Clinton and Geor,1,1.0
152,7-12, He boasted about these acts during his campaign last year but no record or person could corroborate his story ,1,1.4
153,7-13, The report also cast doubt on Johnson s claim that he witnessed the 9 11 attacks in New York served as a clergy following the chaos and set up morgues in the rubble ,1,1.7999999999999998
154,7-14, To support his story Johnson shared an image of him posing with then Mayor Rudy Giuliani at ground zero and state records listing him as receiving New York workers compensation ,1,1.7999999999999998
155,7-15, Yet city officials and public documents failed to support his narrative ,1,1.2000000000000002
156,7-16, Johnson shared the aforementioned details with Guns com in brief interviews and even appeared in the book We The People ,1,1.2000000000000002
157,7-17, In June 2016 Guns com published his famous gun choir in a video in which he sang Amazing Grace with members of his congregation while sporting pistols and rifles ,1,1.4
158,7-18, Michael Skoler the president of Louisville Public Media which owns the Kentucky Center for Investigative Reporting released a statement saying how sorry they were to hear of Johnson s death ,1,1.0
159,7-19, He defended his center s article Our aim as always is to provide the public with fact based un3 reporting and hold public officials accountable for their actions ,1,0.8
160,8-0, A Kentucky state representative committed suicide Wednesday two days after allegations he sexually assaulted a teenage girl were made public ,1,1.0
161,8-1, According to Sheriff Donnie Tinnell of Bullitt County Republican Rep Dan Johnson killed himself on a bridge in Mount Washington Kentucky ,1,0.6000000000000001
162,8-2, The coroner said he died of a single gunshot wound and determined it was a probable suicide ,1,1.2000000000000002
163,8-3, Police were alerted after Johnson posted a suicide note on Facebook ,1,1.0
164,8-4, Officers pinged his cell phone and found his body next to his car ,1,1.4
165,8-5, The lawmaker s death comes after the Kentucky Center for Investigative reporting published an expose Monday detailing an allegation that Johnson had sexually assaulted a 17 year old parishioner from the church where he was bishop ,1,1.7999999999999998
166,8-6, The alleged incident occurred after a New Year s Eve party in 2012 ,0,0.3999999999999999
167,8-7, The parishioner now 21 said that in the early hours of Jan 1 2013 after a New Year s Eve party at the church she and Mr Johnson s daughter slept over at an apartment below the fellowship hall ,1,1.0
168,8-8, After falling asleep on a sofa she said she woke up to find Mr Johnson who was drunk after going to a bar earlier in the night kneeling over her ,1,1.4
169,8-9, He proceeded to kiss her grope her breasts under her shirt put his hand down her pants and penetrate her with his finger she said ,1,2.0
170,8-10, The woman reported the assault to the Louisville Metro Police Department within months of the episode but no charges were filed ,1,1.4
171,8-11, However her account was corroborated by family members by her therapist s notes from the first half of 2013 and by Facebook messages she exchanged with Mr Johnson the Kentucky Center for Investigative Reporting wrote ,1,1.4
172,8-12, New York Times ,0,0.19999999999999996
173,8-13, Johnson denied the allegations earlier this week saying at a press conference This allegation concerning this lady this young girl absolutely has no merit these are unfounded accusations totally ,1,0.8
174,8-14, He went on to argue the allegation against him was in part politically motivated that the woman was a supporter of Hillary Clinton who opposed his conservative beliefs ,1,0.6000000000000001
175,8-15, This is an assault on all real people there s no perfect people and you get into office and all of sudden political hacks come against you and start accusing you after you re in office Johnson said ,1,0.8
176,8-16, Mac Brown chairman of the Republican Party of Kentucky called on him to resign after the investigative report which he called extensively sourced ,1,0.6000000000000001
177,8-17, O nce again find ourselves in a position where we must call for him to resign this time from the Kentucky General Assembly Brown said in a statement ,1,0.6000000000000001
178,9-0, A TOP politician killed himself after leaving a Facebook post slamming accusations that he raped his daughter s teenage friend ,1,1.6
179,9-1, Kentucky state representative Dan Johnson died of a single gunshot wound after stopping his car in a secluded part of Mount Washington the coroner said ,1,1.2000000000000002
180,9-2, Johnson also the leader of the Heart of Fire Church denied the accusations reported by the Kentucky Center for Investigative Reporting ,1,0.6000000000000001
181,9-3, The story accused Johnson a Republican who was a firm supporter of President Donald Trump of having molested a member of his church ,1,1.4
182,9-4, The woman said she was aged 17 at the time of the alleged incident in the church basement ,1,0.6000000000000001
183,9-5, She claimed Johnson crept into the room while she was sleeping beside his daughter and groped and penetrated her against her will ,1,1.7999999999999998
184,9-6, Police had been searching for Johnson after someone read a post on his Facebook page and became concerned ,1,1.0
185,9-7, In the post written on Wednesday Johnson paid tribute to his family saying he had suffered post traumatic stress disorder for 16 years a sickness that will take my life ,1,1.6
186,9-8, He wrote The accusations from NPR are false GOD and only GOD knows the truth nothing is the way they make it out to be ,1,0.6000000000000001
187,9-9, AMERICA will not survive this type of judge and jury fake news ,1,1.4
188,9-10, At a press conference on Tuesday Johnson linked the accusations to similar allegations against the Alabama Republican Roy Moore who was defeated in a special Senate election that day saying they were part of a nationwide strategy to defeat conser,1,1.2000000000000002
189,9-11, Michael Skoler president of Louisville Public Media which owns the Kentucky Center for Investigative Reporting told the Washington Post everyone at the organisation is deeply sad ,1,0.8
190,9-12, Skoler added Our aim as always is to provide the public with fact based un3 reporting and hold public officials accountable for their actions ,0,0.3999999999999999
191,9-13, As part of our process we reached out to Representative Johnson numerous times over the course of a seven month investigation ,0,0.3999999999999999
192,9-14, He declined requests to talk about our findings ,1,1.2000000000000002
193,9-15, Kentucky Republican Gov ,0,0.19999999999999996
194,9-16, Matt Bevin wrote on Twitter Saddened to hear of tonight s death of KY Representative Dan Johnson ,1,0.8
195,9-17, My heart breaks for his family tonight ,0,0.3999999999999999
196,9-18, These are heavy days in Frankfort and in America May God indeed shed His grace on us all We sure need it ,0,0.19999999999999996
197,9-19, We pay for your stories ,1,0.6000000000000001
198,10-0, The Republican politician a father of five had previously battled bipartisan calls to resign following allegations of sexual assault ,1,1.7999999999999998
199,10-1, This Wednesday Kentucky state representative Dan Johnson was found dead by a bridge in Mount Washington with a single gunshot wound to the head according to Bullitt County Coroner Dave Billings ,1,1.4
200,10-2, According to Billings the nature of the injury indicates that the lawmaker s death was a probable suicide though the results of the autopsy are still pending ,1,1.6
201,10-3, Kentucky police were searching for Johnson after they were made aware of a troubling now deleted Facebook post he had written in which he addressed the sexual assault allegations that were made against him and said that he cannot handle it any lon,1,1.4
202,10-4, The accusations from NPR are false GOD and only GOD knows the truth nothing is the way they make it out to be ,1,1.7999999999999998
203,10-5, AMERICA will not survive this type of judge and jury fake news the post read ,1,2.0
204,10-6, IT Has Won This Life ,1,1.2000000000000002
205,10-7, BUT HEAVEN IS MY HOME ,1,0.8
206,10-8, Earlier this week the Kentucky Center for Investigative Reporting KyCIR released an expose on the Republican lawmaker that featured sexual assault accusations by Maranda Richmond a female friend of Johnson s daughter ,1,1.7999999999999998
207,10-9, Richmond accused Johnson of forcing himself on her as well as groping her breasts and genitals during a New Years Eve party in 2013 when she was 17 years old ,1,1.6
208,10-10, The young woman claimed that she was woken up by Johnson who forcefully kissed her slipped his hands under her shirt and bra and then penetrated her vagina with his fingers ,1,2.0
209,10-11, Following the KyCIR report the state leaders of the Republican and Democratic parties called on Johnson to resign ,1,1.6
210,10-12, Acting Speaker of the Kentucky House of Representatives David Osborne described the expose as compelling and deeply troubling ,1,1.7999999999999998
211,10-13, Speaking to a press conference at his church this Tuesday Johnson denied the accusations and declared that he will not resign ,1,1.7999999999999998
212,10-14, This allegation concerning this lady this young girl absolutely has no merit these are unfounded accusations totally Johnson said ,1,2.2
213,10-15, Following his apparent suicide KyCIR issued a statement cited by the Washington Post that the station was deeply sad to learn about Johnson s death ,1,1.7999999999999998
214,10-16, Our Kentucky Center for Investigative Reporting released a report on Johnson this week ,1,1.2000000000000002
215,10-17, Our aim as always is to provide the public with fact based un3 reporting and hold public officials accountable for their actions the statement read ,1,1.4
216,10-18, READ MORE Trump Should Resign Over Accusations of Sexual Misconduct US Senator,1,1.6
217,10-19, Kentucky s Governor Matt Bevin tweeted that he was saddened to hear about the lawmaker s death ,1,1.4
218,11-0, Facebook s recent suspension of Cambridge Analytica a data analytics firm that played a key role in President Trump s 2016 campaign highlights the rapid rise of a company that claimed it had reached new heights in marrying the art of political pers,1,1.4
219,11-1, Four years after the company began offering Republican political candidates the promise of groundbreaking tools for delivering political messages tailored to the psychological traits of voters serious questions remain about its tactics and effective,1,1.6
220,11-2, What is clear is that the services Cambridge Analytica offered are increasingly coveted by modern political campaigns ,1,1.4
221,11-3, Yet Facebook users had few indications of how their personal data was collected refashioned and deployed on behalf of candidates ,1,1.6
222,11-4, A Cambridge University professor working for Cambridge Analytica in 2014 created an app called Thisisyourdigitallife that offered personality predictions and billed itself on Facebook as a research app used by psychologists ,1,1.2000000000000002
223,11-5, The professor a Russian American named Aleksandr Kogan used the app to gain access to demographic information including the names of users their likes friend lists and other data ,1,1.6
224,11-6, Once obtained by Cambridge Analytica political campaigns could use those profiles to target users with highly tailored messages ads or fundraising requests ,1,1.4
225,11-7, Facebook said 270 000 people downloaded the app ,1,1.0
226,11-8, But people familiar with how such systems work including a former Cambridge Analytica employee said the app would have given Cambridge access to information on the friends of each of those people a number that almost certainly reached into the t,1,2.0
227,11-9, The Observer of London and the New York Times reported Saturday that Cambridge Analytica had gained access to information on 50 million Facebook users citing internal documents and interviews with former employees and associates ,1,1.7999999999999998
228,11-10, Facebook declined to confirm or deny this number ,1,1.7999999999999998
229,11-11, It issued a statement noting its past actions to limit access to this kind of personal information which until changes were made in 2014 and 2015 was routinely available about any users who did not explicitly act to prevent the release of what l,1,2.0
230,11-12, In 2014 after hearing feedback from the Facebook community we made an update to ensure that each person decides what information they want to share about themselves including their friend list the statement said ,1,1.7999999999999998
231,11-13, Facebook on Friday banned Kogan the parent company of Cambridge Analytica and a former Cambridge employee for improperly sharing the data and failing to destroy it after concerns arose about it in 2015 ,1,1.7999999999999998
232,11-14, Facebook had asked the parties back then to certify they would not abuse data but it did not take further action beyond that warning ,1,1.2000000000000002
233,11-15, Despite Facebook s concerns in 2015 the social network continued to work with Cambridge Analytica ,1,1.6
234,11-16, During the presidential election Facebook employees assisting Donald Trump s digital operation worked in the same office as Cambridge Analytica workers according to a video by the BBC ,1,1.7999999999999998
235,11-17, One former Cambridge employee Joseph Chancellor continues to work at Facebook as a user experience researcher according to Facebook s public website ,1,1.6
236,11-18, Some critics said Facebook s actions on Friday were an insufficient response to a far reaching data grab that had informed the decision making of multiple political operations ,1,1.6
237,11-19, Trump s campaign paid Cambridge Analytica at least 6 million for data analysis in the final five months of a close election ,1,1.4
238,12-0, Lukoil was interested in how data was used to target American voters according to two former company insiders who said there were at least three meetings with Lukoil executives in London and Turkey ,1,1.6
239,12-1, SCL and Lukoil denied that the talks were political in nature and SCL also said there were no meetings in London ,1,2.4
240,12-2, The contacts took place as Cambridge Analytica was building a roster of Republican political clients in the United States and harvesting the Facebook profiles of over 50 million users to develop tools it said could analyze voters behavior ,1,1.7999999999999998
241,12-3, Cambridge Analytica also included extensive questions about Russia s president Vladimir V Putin in surveys it was carrying out in American focus groups in 2014 ,1,1.4
242,12-4, It is not clear what or which client prompted the line of questioning which asked for views on topics ranging from Mr Putin s popularity to Russian expansionism ,1,1.6
243,12-5, On two promotional documents obtained by The New York Times SCL said it did business in Russia ,1,1.2000000000000002
244,12-6, In both documents the country is highlighted on world maps that specify the location of SCL clients with one of the maps noting that the clients were for the firm s elections division ,1,1.4
245,12-7, In a statement SCL said an employee had done commercial work about 25 years ago for a private company in Russia ,1,1.7999999999999998
246,12-8, Cambridge Analytica has been a political flash point since its role in the Trump campaign attracted scrutiny after the election ,1,1.4
247,12-9, While Mr Nix s firm turned over some records to the House Permanent Select Committee on Intelligence during its investigation of Russian interference Democrats on the committee want a fuller review ,1,1.4
248,12-10, It is imperative to interview a broader range of individuals employed by or linked to Cambridge Analytica they said in a report this month ,1,1.2000000000000002
