,id,text,label,pos,bias_type,quote,aim
21,21,Batting down allegations that the White House dangled the secretary of Navy position in front of Sestak the report said that Sestak was offered executive branch positions on advisory boards that were uncompensated ,1,Batting down,lex,no,dir
22,22,On that same day Obama had lunch with Clinton ,1,"On that same day, Obama had lunch with Clinton.",inf,no,dir
23,23, This is punishable by prison ,1,"""This is punishable by prison.",inf,yes,dir
24,24,This is a felony said Rep Darrell Issa R Calif who has been leading the charge for more details on the allegation ,1,This is a felony,inf,yes,dir
25,25,But he refused to provide details such as who approached him and what position was dangled in front of him ,1,dangled in front of,lex,no,dir
26,26,It certainly wasn t historically unique ,1,It certainly wasn't historically unique.,inf,no,dir
27,27,As the Huffington Post reported on Thursday various political historians and ethics lawyers have approached the Sestak news with yawns noting that quid pro quos and backroom job offers are fairly common in administrations ,1,have approached the Sestak news with yawns,inf,no,dir
28,28,Press Secretary Robert Gibbs declined repeated attempts for comment before relaying to reporters that he and White House lawyers had looked into the matter and found it legally permissible ,1,declined repeated attempts for comment,inf,no,dir
29,29, It is very troubling to see President Obama again turning a deaf ear to the thoughts and concerns of a majority of Americans said James Renacci a Republican candidate in Ohio s 16th District who said people at a recent public meeting were furious about the mosque proposal ,1,"“It is very troubling to see President Obama again turning a deaf ear to the thoughts and concerns of a majority of Americans,”",inf,yes,dir
30,30,Mr Nadler whose view is that the developers were entitled to build the mosque at the selected location if they choose said Ultimately I suspect that once this simmers down in a few weeks people will realize that everybody s liberty is at stake here ,1,everybody’s liberty is at stake here,inf,yes,ind_general
31,31,The intensity of their attacks showed that they do not appear worried about the risk of being seen as intolerant or not supportive of the right to freedom of religion ,1,they do not appear worried about the risk of being seen as intolerant or not supportive of the right to freedom of religion,inf,no,dir
32,32,Privately many Democrats were not pleased that the issue had been thrown into their laps during the summer recess as they believed they had been making inroads by talking about how some Republicans support privatizing Social Security ,1,"Privately, many Democrats were not pleased that the issue had been thrown into their laps",inf,no,dir
33,33,Democratic campaign officials accused Republicans of exploiting the Sept 11 attacks noting that their outrage over the Islamic center came just weeks after many House Republicans opposed a new medical program to monitor and treat emergency workers and others suffering ill effects from exposure to hazardous materials at ground zero ,1,"Democratic campaign officials accused Republicans of exploiting the Sept. 11 attacks, noting that their outrage over the Islamic center came just weeks after many House Republicans opposed a new medical program to monitor and treat emergency workers and others suffering ill effects from exposure to hazardous materials at ground zero.",inf,no,dir
34,34,The prolonged presidential explanation elevated the issue beyond a local dispute and hurled it into the political arena ,1,The prolonged presidential explanation elevated the issue beyond a local dispute and hurled it into the political arena.,inf,no,dir
35,35,The next day he clarified that he was merely commenting on fundamental religious freedoms not specifically on the wisdom of the mosque project ,1,"The next day, he clarified that he was merely commenting on fundamental religious freedoms -- not specifically on the ""wisdom"" of the mosque project.",inf,no,dir
36,36,Burton said that he can t speak to the politics of what the Republicans are doing but the president was not looking to make political hay with his remarks which he reportedly considered carefully before delivering them at a White House dinner on Friday night ,1,reportedly considered carefully,lex,no,dir
37,37,He added the administration can t control the conversation on cable TV or in newspapers but the White House has had a pretty fulsome conversation about it and has addressed it to a pretty full extent ,1,"""pretty fulsome conversation""",lex,no,ind_pro
38,38,He added the administration can t control the conversation on cable TV or in newspapers but the White House has had a pretty fulsome conversation about it and has addressed it to a pretty full extent ,1,"""pretty full extent.""",lex,no,ind_pro
39,39,Reid after all only issued the above statement after his Republican opponents began hitting him for going silent on the matter ,1,"Reid, after all, only issued the above statement after his Republican opponents began hitting him for going silent on the matter.",inf,no,dir
40,40, Who are you the seven term congressman demands ,1,!,lex,no,dir
41,41, Who are you the seven term congressman demands ,1,demands,lex,no,dir
42,42, His conduct is unbecoming of a member of Congress ,1,"""His conduct is unbecoming of a member of Congress.",inf,yes,dir
43,43,It s bad enough that he s joined Obama s assault on North Carolina jobs but his physical assault on a college student goes beyond the pale ,1,"It's bad enough that he's joined Obama's assault on North Carolina jobs, but his physical assault on a college student goes beyond the pale.""",inf,yes,dir
44,44,Etheridge is then seen trying to snatch a cell phone camera out of the student s hands He then grabs the man s wrist and refuses to let go ,1,Etheridge is then seen trying to snatch a cell phone camera out of the student's hands. He then grabs the man's wrist and refuses to let go.,inf,no,dir
45,45,When the man asks Etheridge to please let go of me the congressman then grabs him by the neck ,1,"When the man asks Etheridge to ""please let go of me,"" the congressman then grabs him by the neck.",inf,no,dir
46,46, I ve been spat at pushed and threatened before but that s no excuse he added saying that the incident occurred after a long day ,1,"""long day.""",lex,no,dir
47,47,A young man dressed in a jacket and tie approached the congressman on a sidewalk saying Hi Congressman How are you Do you fully support the Obama agenda ,1,dressed in a jacket and tie,inf,no,ind_anti
48,48, Bob Etheridge has lost it said Jon Thompson a Republican spokesman ,1,"“Bob Etheridge has lost it,”",inf,yes,dir
49,49, His conduct is unbecoming of a member of Congress ,1,“His conduct is unbecoming of a member of Congress.”,inf,yes,dir
50,50,A hard progressive left captured the Democrat majority in Congress and forced them to enact a fantasy grab bag of legislation that is increasingly unpopular with the American public ,1,"A hard, progressive left captured the Democrat majority in Congress and forced them to enact a fantasy grab-bag of legislation that is increasingly unpopular with the American public.",inf,yes,ind_pro
51,51,We re on the cusp of a deeper recession millions of unemployed Americans have no prospect for work taxes are about to spike higher and we ve maxed out the national credit card ,1,"We’re on the cusp of a deeper recession, millions of unemployed Americans have no prospect for work, taxes are about to spike higher and we’ve maxed out the national credit card.",inf,yes,ind_pro
52,52,The Democrats were given a chance to run government and they ve only succeeded in running it into the ground ,1,The Democrats were given a chance to run government and they’ve only succeeded in running it into the ground.,inf,yes,ind_pro
53,53,But little is known about these students ,1,“students.”,lex,yes,ind_anti
54,54,He need not have gotten physical with the students who asked him the provocative question regarding his support of the Obama Agenda honestly that sort of opening question is straight from the Jason Mattera school of inflammatory interview techniques ,1,provocative,lex,no,ind_anti
55,55,Hmmm nothing like the courage of the anonymous protester ,1,Hmmm...nothing like the courage of the anonymous protester.,inf,yes,ind_anti
56,56,If that doesn t tell you this is a Republican Party hatchet job nothing will ,1,If that doesn’t tell you this is a Republican Party hatchet job nothing will.”,inf,yes,ind_anti
57,57,His response was to hit away a video camera and assault a student ,1,His response was to hit away a video camera and assault a student.,inf,yes,dir
58,58,The chalkboard a prop that he uses frequently on his top rated show brought the audience to its feet ,1,top-rated,inf,no,dir
59,59, None of this would have happened without Glenn she said ,1,"""None of this would have happened without Glenn,""",inf,yes,dir
60,60,She was at CPAC to see Beck and called him a relatable everyday guy ,1,"She was at CPAC to see Beck and called him a ""relatable ... everyday guy.""",inf,no,dir
61,61,Glenn Beck the hero of the political right and the closing speaker of a three day conservative conference ripped the roof off a Washington hotel Saturday with a sweeping denunciation of progressivism ,1,ripped the roof off,lex,no,dir
62,62, I m addicted to spending and big government he said drawing cheers and applause from the thousands of people packed into the hotel ballroom ,1,the thousands of people packed into the hotel ballroom,inf,no,dir
63,63,He held the audience spellbound with riffs on his personal life laced through his political philosophy strong on personal responsibility ,1,He held the audience spellbound,inf,no,dir
64,64,Bombastic conservative talk show host Glenn Beck closed a three day conservative conference on Saturday by demanding that Republicans get their own house in order before re trying their hand at governance ,1,Bombastic,lex,no,dir
65,65,The crowd was enthralled even as Beck took them down winding tales of Calvin Coolidge the Statute of Liberty and the supposed great middle class explosion of the 1920s ,1,"even as Beck took them down winding tales of Calvin Coolidge, the Statute of Liberty and the supposed great middle class explosion of the 1920s",inf,no,dir
66,66, Dick Cheney a couple days ago says it is going to be a good year for conservative ideas he declared at one point wiping the sweat from his brow ,1,wiping the sweat from his brow,inf,no,dir
67,67,In a winding speech that touched as much on his personal turmoil as his policies and politics Beck had the packed auditorium at CPAC captivated from the start ,1,winding,lex,no,dir
68,68,Using hand gestures multiple impersonations and his infamous chalkboard he took the usual swipes at Democrats ,1,he took the usual swipes at Democrats,inf,no,dir
69,69,Reflecting on his own lack of formal education he railed against government handouts extending the logic to argue against a right to health care ,1,a right to,lex,no,dir
70,70,All we ve heard the Fox News host complained is we need a big tent We need a big tent Can we get a bigger tent How can we get a big tent ,1,complained,lex,no,dir
71,71,Mr Steele s tenure has been one of the few blemishes this year for the Republican Party which scored historic victories in the midterm elections ,1,Mr. Steele’s tenure has been one of the few blemishes this year for the Republican Party,inf,no,dir
72,72,The battle for control of the Republican National Committee will take a new turn on Monday when Michael Steele announces whether he plans to step down as party chairman or will disregard the onslaught of criticism about his oversight of the committee and seek a second term ,1,onslaught,lex,no,dir
73,73,But Steele has been unpredictable especially over recent weeks and some close to the GOP chairman say he wants to run for another term and is struggling to find enough support for a second term ,1,But Steele has been unpredictable,inf,no,dir
74,74,Critics have described the chairman as gaffe prone and said he hasn t raised enough money ,1,Critics have described the chairman as gaffe-prone,inf,no,dir
75,75,Steele s gaffe prone tenure at the helm of the RNC has aided the creation of a significant bloc of GOPers who are intent on seeing his departure next month ,1,gaffe-prone,lex,no,dir
76,76,And while many predict that Steele will call it quits after his current term his increasing seclusion and detachment from other Republican advisers has made his forthcoming decision difficult to ascertain ,1,his increasing seclusion and detachment from other Republican advisers,inf,no,dir
77,77,He obtained at least five military deferments from 1965 to 1970 and took repeated steps that enabled him to avoid going to war according to records ,1,enabled him to avoid,lex,no,dir
78,78,He joined a unit in Washington that conducted drills and other exercises and focused on local projects like fixing a campground and organizing a Toys for Tots drive ,1,like fixing a campground and organizing a Toys for Tots drive,inf,no,dir
79,79,Mr Blumenthal 64 is known as a brilliant lawyer who likes to argue cases in court and uses language with power and precision ,1,uses language with power and precision,inf,no,dir
80,80,In 1970 with his last deferment in jeopardy he landed a coveted spot in the Marine Reserve which virtually guaranteed that he would not be sent to Vietnam ,1,with his last deferment in jeopardy,inf,no,dir
81,81,It does not appear that Mr Blumenthal ever sought to correct those mistakes ,1,It does not appear that Mr. Blumenthal ever sought to correct those mistakes.,inf,no,dir
82,82,At that March 2 event which can be found here on You Tube Blumenthal advocating for troops returning from war clearly says We have learned something very important since the days that I served in Vietnam ,1,clearly,lex,no,dir
83,83,He obtained at least five military deferments from 1965 to 1970 and took repeated steps that enabled him to avoid going to war according to records ,1,enabled him to avoid,lex,yes,dir
84,84,In a televised March debate Blumenthal stated clearly he had not served in Vietnam ,1,"In a televised March debate, Blumenthal stated clearly he had not served in Vietnam.",inf,no,dir
85,85,It is no surprise Linda McMahon would want to smear the Attorney General considering all of the debauchery at the WWF under her watch including her attempt to interfere with an investigation into widespread drug abuse ,1,"It is no surprise Linda McMahon would want to smear the Attorney General, considering all of the debauchery at the WWF under her watch, including her attempt to interfere with an investigation into widespread drug abuse.",inf,yes,ind_anti
86,86,Kevin Rennie a former Republican state lawmaker published a blog post stating that the Times piece was fed to the paper by the Linda McMahon Senate campaign ,1,"Kevin Rennie, a former Republican state lawmaker, published a blog post stating that the Times piece was ""fed to the paper by the Linda McMahon [Senate] campaign.""",inf,no,ind_anti
87,87, His opponent s campaign admits they are the ones who cherry picked the quotes and are behind the hit piece ,1,-His opponent's campaign admits they are the ones who cherry-picked the quotes and are behind the hit piece.,inf,yes,ind_anti
88,88,The St Louis Tea Party Coalition issued its own resolution against the N A A C P accusing the civil rights body of acting as a partisan political attack dog and calling on the Internal Revenue Service to review the group s tax exempt status ,1,“partisan political attack dog”,inf,yes,dir
89,89,The Tea Party movement has been beset with allegations of racism since black members of Congress preparing to vote on health care legislation accused protesters of hurling racial epithets and in one instance spitting on a congressman ,1,"The Tea Party movement has been beset with allegations of racism since black members of Congress preparing to vote on health care legislation accused protesters of hurling racial epithets, and in one instance, spitting on a congressman.",inf,no,dir
90,90, What we take issue with is the Tea Party s continued tolerance for bigotry and bigoted statements ,1,the Tea Party's continued tolerance for bigotry and bigoted statements,inf,yes,dir
91,91,But Tea Party members have challenged claims that their activists accosted black lawmakers in March and no visual evidence has been produced depicting a racist attack ,1,no visual evidence has been produced depicting a racist attack,inf,no,dir
92,92,The resolution initially said the NAACP would repudiate the racism of the Tea Parties and stand against the movement s attempt to push our country back to the pre civil rights era though the wording was amended to downplay criticism of all Tea Partiers while asking them to repudiate bigots in their own ranks ,1,"""push our country back to the pre-civil rights era,""",inf,yes,dir
93,93,The group has drafted a resolution of its own condemning the civil rights group for reducing itself to a bigoted and partisan attack dog organization ,1,"""partisan attack dog organization.""",inf,yes,dir
94,94, When you look at the crime and poverty and family breakdown of the African American community you see a half century of failure by the NAACP he wrote ,1,"""When you look at the crime and poverty and family breakdown of the African-American community ... you see a half-century of failure by the NAACP,""",inf,yes,dir
95,95, None of those persistent problems was caused by the Tea Party movement yet the principles of the Tea Party are exactly what s needed to wind down the multigenerational destruction in the African American community ,1,"""None of those persistent problems was caused by the Tea Party movement, yet the principles of the Tea Party are exactly what's needed to wind down the multigenerational destruction in the African-American community.",inf,yes,dir
96,96,All that s left is a bigoted and malicious shell that does far more harm than good for people who need a break he wrote ,1,All that's left is a bigoted and malicious shell that does far more harm than good for people who need a break,inf,yes,dir
97,97,Tea Party organizers routinely defend themselves against charges of racism disavowing racially charged signs that appear in their protest crowds and provide fodder for Tea Party critics ,1,"Tea Party organizers routinely defend themselves against charges of racism, disavowing racially charged signs that appear in their protest crowds and provide fodder for Tea Party critics.",inf,no,dir
98,98, They no longer prioritize civil rights she told Fox News ,1,"“They no longer prioritize civil rights,”",inf,yes,dir
99,99,We have an issue with their acceptance and welcoming of white supremacists into their organizations he said ,1,We have an issue with their acceptance and welcoming of white supremacists into their organizations,inf,yes,dir
100,100, And then these groups these extremist groups are looking for something and they are latching on to this ,1,extremist,lex,yes,dir
101,101,Cleaver D Mo also said he was spit on ,1,"Cleaver, D-Mo., also said he was spit on.",inf,no,dir
102,102,The former Alaska governor said claims that tea party activists judge people by the color of their skin were false and appalling ,1,appalling,lex,no,dir
103,103,That means putting on the backburner a push to repeal the military s policy banning gays from serving openly in the military a bill giving illegal immigrant students and military members a pathway to legal status and an extension of long term unemployment benefits ,1,"That means putting on the backburner a push to repeal the military's policy banning gays from serving openly in the military, a bill giving illegal immigrant students and military members a pathway to legal status and an extension of long-term unemployment benefits.",inf,no,dir
104,104,But with Republicans vowing to deprive Democrats of the 60 votes they need to move toward a vote on virtually anything until these issues are addressed negotiators will have to move quickly if they want to get to other matters before a new more Republican Congress is sworn in next month ,1,vowing to deprive,lex,no,dir
105,105,Sen Michael Bennet D Colo was caught on a hot mic in the Senate ripping the lame duck agenda which was set exclusively by his party as rigged and done without a discussion among members ,1,which was set exclusively by his party,inf,no,dir
106,106,Sen Michael Bennet D Colo was caught on a hot mic in the Senate ripping the lame duck agenda which was set exclusively by his party as rigged and done without a discussion among members ,1,ripping,lex,no,dir
107,107,Democrats want them extended for all but the wealthy while Republicans want them extended for everybody ,1,Democrats want them extended for all but the wealthy,inf,no,dir
108,108,Democrats want them extended for all but the wealthy while Republicans want them extended for everybody ,1,while Republicans want them extended for everybody,inf,no,dir
109,109,Republicans have simply put in writing their political strategy which they have pursued over the last two years obstruct and delay action on critical matters and then blame the Democrats for not addressing the needs of the American people ,1,"Republicans have simply put in writing their political strategy which they have pursued over the last two years: obstruct and delay action on critical matters, and then blame the Democrats for not addressing the needs of the American people.",inf,yes,dir
110,110,This strategy is very cynical but very obvious and transparent ,1,This strategy is very cynical but very obvious and transparent.”,inf,yes,dir
111,111,WASHINGTON The Senate GOP s threat to filibuster every single piece of legislation until the chamber resolves budget and tax cut measures will likely be tested as soon as Friday ,1,threat,lex,no,dir
112,112,Calling The Senate GOP s Bluff Multiple Bills Likely To Come Up Before Tax Cuts,1,Calling The Senate GOP's Bluff,inf,no,dir
113,113,Vice President Joseph R Biden Jr planned to return to Capitol Hill this afternoon to meet with House Democrats as President Obama and the White House sought to quell the uproar among liberals about the tax deal ,1,uproar,lex,no,dir
114,114,To counter condemnations from some Democrats in Congress the White House circulated a series of e mails quoting endorsements from private sector economic forecasters liberal as well as conservative analysts and Democratic officeholders including an obscure freshman House member Representative Gary Peters of Michigan ,1,obscure,lex,no,ind_pro
115,115,David Axelrod the president s chief political adviser said on CNN s American Morning that middle class Americans were going to get screwed if their tax cuts were not extended at the end of the year ,1,“going to get screwed”,lex,yes,dir
116,116,Close to three dozen House Democrats have signed a letter from Representative Peter Welch Democrat of Vermont calling the tax deal fiscally irresponsible and grossly unfair ,1,“fiscally irresponsible”,inf,yes,dir
117,117,Close to three dozen House Democrats have signed a letter from Representative Peter Welch Democrat of Vermont calling the tax deal fiscally irresponsible and grossly unfair ,1,“grossly unfair.”,inf,yes,dir
118,118,The administration has been pushing back hard against criticism from fellow Democrats that the president has caved too much to Republicans ,1,caved,lex,no,dir
119,119,Mr Biden s visit and the president s comments come as the administration s message machine started churning out statements of support ,1,message machine,lex,no,ind_pro
120,120,I don t feel that I should be coerced ,1,I don’t feel that I should be coerced,inf,yes,ind_pro
121,121,Summers added that he thinks Congress will pass the deal President Obama struck with Republicans an agreement that has come under withering criticism from liberal Democrats over the two year extension of tax cuts for the rich as well as the middle class ,1,withering criticism from liberal Democrats over the two-year extension of tax cuts for the rich as well as the middle class,inf,no,dir
122,122,Both provisions are seen by many Democrats as giveaways to the rich that will do little to help the economy ,1,Both provisions are seen by many Democrats as giveaways to the rich that will do little to help the economy.,inf,no,dir
123,123,Reps Peter DeFazio of Oregon and Jim McDermott and Jay Inslee of Washington state are crafting a letter to share with the House Democratic Caucus that would try to block the bill from seeing the light of day ,1,from seeing the light of day,lex,no,dir
124,124,But House Democrats are not listening ,1,But House Democrats are not listening.,inf,no,dir
125,125,In return Democrats would get extended jobless benefits for people who have been unemployed for long stretches ,1,"In return, Democrats would get extended jobless benefits for people who have been unemployed for long stretches.",inf,no,dir
126,126,It wasn t quite the metaphorical flare of mushroom cloud imagery but outgoing senior economic adviser Larry Summers offered a fairly dire assessment of the stakes in the tax cut debate ,1,It wasn't quite the metaphorical flare of mushroom cloud imagery,lex,no,dir
127,127,The message was hardly subtle But it certainly was debatable ,1,The message was hardly subtle. But it certainly was debatable.,inf,no,dir
128,128,There were few carrots to go along with the sticks ,1,There were few carrots to go along with the sticks.,inf,no,ind_pro
129,129,If anything the pitch being offered from the administration to the rest of the party was take the package now or risk being blamed for an economic downturn ,1,take the package now or risk being blamed for an economic downturn,inf,no,ind_pro
130,130,Added Gibbs I think you would really have to ask somebody who says lets have some eight week fight and on February the 15th come in and say alright now we are ready to make a compromise who on earth who on earth thinks that that is somehow going to be a fundamentally better agreement than the one we are looking at right now ,1,"I think you would really have to ask somebody who says... lets have some eight week fight and on February the 15th come in and say, alright, now we are ready to make a compromise, who on earth, who on earth thinks that that is somehow going to be a fundamentally better agreement than the one we are looking at right now?",inf,yes,ind_anti
131,131,Donald Trump is investing more in the conspiracy theories about President Obama s birth certificate as he explores his own bid for the presidency ,1,conspiracy theories,lex,no,dir
132,132, I m honored to get the ability to meet with him and discuss it and I want to thank him for being such a supporter of this issue ,1,I’m honored to get the ability to meet with him,inf,yes,dir
133,133,Mr Obama has shown a certificate of live birth from Hawaii which is the standard form of birth certificate in the state and state officials including the Republican who was governor during the 2008 campaign have confirmed its authenticity ,1,including the Republican who was governor during the 2008 campaign,inf,no,dir
134,134,The Arizona group said the call from Mr Trump on Wednesday came unexpectedly and the group had spent much of the day Thursday scurrying to make travel arrangements to New York ,1,"the call from Mr. Trump on Wednesday came unexpectedly, and the group had spent much of the day Thursday scurrying to make travel arrangements to New York",inf,no,dir
135,135,In an interview shown Thursday on the Today show Mr Trump told Meredith Vieira that he had real doubts about whether Mr Obama was born in this country and that he has sent his own investigators to Hawaii to research the issue ,1,“real doubts”,lex,no,dir
136,136,Several conservatives including Glenn Beck and Bill O Reilly have criticized Mr Trump for raising questions about it ,1,"Several conservatives, including Glenn Beck and Bill O’Reilly, have criticized Mr. Trump for raising questions about it.",inf,no,dir
137,137,The Celebrity Apprentice star has shot up in the polls as a potential GOP nominee in part because of his questions about whether Obama is constitutionally allowed to be president if he doesn t prove he is a natural born citizen of the United States ,1,"The ""Celebrity Apprentice"" star",inf,no,dir
138,138, Donald s a really good friend of mine I don t know that Donald really wants to be president Christie said in an interview that aired Wednesday night ,1,"""Donald's a really good friend of mine, I don't know that Donald really wants to be president,""",inf,yes,dir
139,139, How come his own family doesn t know which hospital he was born in ,1,"""How come his own family doesn't know which hospital he was born in?",inf,yes,dir
140,140,I love this country but this country is going to hell ,1,this country is going to hell,inf,yes,dir
141,141,He signaled he did saying And they cannot believe what they re finding And I m serious ,1,And they cannot believe what they're finding,inf,yes,dir
142,142,He accused Obama of carrying out a confusing policy on the civil war in Libya saying nobody knows what s happening and now it looks like Libyan strongman Moammar Gadhafi is going to beat the United States ,1,He accused Obama of carrying out a confusing policy on the civil war in Libya,inf,no,dir
143,143,NBC further notes Strikingly Trump finishes first among Tea Party supporters at 20 percent followed by Romney 17 percent Huckabee 14 percent Palin 12 percent and Gingrich 9 percent ,1,Strikingly,lex,yes,dir
144,144, I wish this was the greatest place in the world Trump said but he also said jobs are disappearing in the United States and that Obama has given the country a terrible presidency ,1,"""a terrible presidency.""",inf,yes,dir
145,145,The self titled America s Toughest Sheriff who famously re instituted chain gangs in 1995 and has also been a major supporter of his state s controversial SB1070 immigration law said that Perry has done more to combat illegal immigration along the U S border then any of the other candidates ,1,self-titled,lex,no,dir
146,146, Governor Perry has a superior border security record and plan to make our border and our nation safer ,1,"""Governor Perry has a superior border security record and plan to make our border and our nation safer.""",inf,yes,dir
147,147,The self titled America s Toughest Sheriff who famously re instituted chain gangs in 1995 and has also been a major supporter of his state s controversial SB1070 immigration law said that Perry has done more to combat illegal immigration along the U S border then any of the other candidates ,1,self-titled America's Toughest Sheriff,inf,no,dir
148,148,The self titled America s Toughest Sheriff who famously re instituted chain gangs in 1995 and has also been a major supporter of his state s controversial SB1070 immigration law said that Perry has done more to combat illegal immigration along the U S border then any of the other candidates ,1,Perry has done more to combat illegal immigration along the U.S. border then any of the other candidates,inf,no,dir
149,149, Sheriff Arpaio knows the struggle border states face as Washington politicians and bureaucrats fail time and again to properly secure our nation s southern boundary with Mexico said Gov Perry ,1,Washington politicians and bureaucrats fail time and again,inf,yes,ind_general
150,150, You talk about magnets you put in place a magnet ,1,"""You talk about magnets -- you put in place a magnet.""",inf,yes,dir
151,151,Governor Perry has a superior border security record and plan to make our border and our nation safer ,1,"Governor Perry has a superior border security record and plan to make our border and our nation safer.""",inf,yes,dir
152,152,He is famous for pushing worksite raids and creating a Tent City a military style holding ground for inmates now in its eighteenth year ,1,"He is famous for pushing worksite raids and creating a ""Tent City,"" a military-style holding ground for inmates, now in its eighteenth year.",inf,no,dir
153,153, I am honored to have Sheriff Arpaio s support for my presidential campaign and our shared goals of fighting border crime with more personnel border fencing and surveillance ,1,I am honored to have Sheriff Arpaio's support,inf,yes,dir
154,154,At one point he suggested that those who opposed his position were heartless ,1,At one point he suggested that those who opposed his position were heartless.,inf,no,dir
155,155,It was the first time in a generation according to officials that the federal government has filed suit to force a law enforcement agency to cooperate with such an investigation ,1,"It was the first time in a generation, according to officials, that the federal government has filed suit to force a law enforcement agency to cooperate with such an investigation.",inf,no,dir
156,156,Mr Perry in his most expansive comments about illegal immigration since last week s Republican presidential debate was not suggesting any rounding up of illegal immigrants an aide later made clear but calling for all people arrested or detained and later found to be undocumented to be expelled from the country after an expedited hearing ,1,expelled from the country after an expedited hearing,inf,no,dir
157,157,With a little more than a month to go before the New Hampshire primary the Texas governor is trying to shore up his credentials on immigration On Tuesday he won an endorsement from one of the nation s most outspoken and controversial public officials on that issue Sheriff Joe Arpaio of Maricopa County Ariz who unabashedly calls himself the toughest sheriff in the country ,1,one of the nation’s most outspoken and controversial public officials,inf,no,dir
158,158,With a little more than a month to go before the New Hampshire primary the Texas governor is trying to shore up his credentials on immigration On Tuesday he won an endorsement from one of the nation s most outspoken and controversial public officials on that issue Sheriff Joe Arpaio of Maricopa County Ariz who unabashedly calls himself the toughest sheriff in the country ,1,unabashedly,lex,no,dir
159,159,On Tuesday he repeated his apology for that comment calling it very inappropriate his latest effort to try to win back some Republican primary voters who abandoned him as rivals sought to paint him as too soft on illegal immigration ,1,abandoned,lex,no,dir
